,Pair,Group,IFGr_IFGr_vid,IFGl_IFGl_vid,TPJr_TPJr_vid,TPJl_TPJl_vid,IFGl_IFGr_vid,IFGr_TPJr_vid,IFGr_TPJl_vid,IFGl_TPJr_vid,IFGl_TPJl_vid,TPJr_TPJl_vid,IFGr_IFGr_int,IFGl_IFGl_int,TPJr_TPJr_int,TPJl_TPJl_int,IFGl_IFGr_int,IFGr_TPJr_int,IFGr_TPJl_int,IFGl_TPJr_int,IFGl_TPJl_int,TPJr_TPJl_int
37,10,NIL,0.27617202315336753,0.276725730514751,0.2672886800707805,0.223237785286676,0.3099249327326978,0.29003386184017876,0.27559922375359175,0.275638810278309,0.2361804401003475,0.2767405771067982,0.2303862812906785,0.249250339280048,0.37979141926291504,0.2689339082404935,0.27628949571712325,0.26014738722811775,0.2578672966948957,0.272858179204603,0.24215606208169552,0.28809481387687225
38,11,IC,,0.2954572644160085,,,0.279392067551468,,,0.2576758280996455,0.27376589816666,,,0.2974772098744975,,,0.3434313441069775,,,0.2702703277874535,0.23893229803878602,
39,11,IL,0.32517644149825553,0.3417988159555375,0.294682733296387,0.23165269704390298,0.30641233756726205,0.306092395622241,0.3067766820480843,0.3153761063567998,0.312246682867119,0.24716618907427523,0.32216163420699295,0.3352994643315025,0.2318835889978975,0.271671598685589,0.29516656000436076,0.290651876906014,0.2871457870740852,0.29190560145063105,0.25186211982032725,0.31312876095867004
40,11,NIC,0.3136079660878335,0.297372411841075,,,0.31328933073506804,0.21655222334089852,0.2584918308445745,0.20857044856741702,0.2192068195677635,,0.2540412183534575,0.2396042934806905,,,0.22591077077869748,0.2716161608797345,0.3215204554995935,0.2887841012843535,0.3029866144930705,
41,11,NIL,0.2740658140454575,0.2936075591868975,0.2634617324151665,0.28948878622852003,0.28500257153694775,0.28494622192497926,0.33625003290908173,0.29021353461983823,0.31831945513358,0.2757250339661805,0.207607213312682,0.244552599712763,0.287532811973622,0.272354121413092,0.26550208932890673,0.2870875696621345,0.2351096629007225,0.33349474057986805,0.24453663540219953,0.23352878451569725
42,12,IC,0.345914466791845,0.223552898834937,0.322348845478172,0.2671154641073865,0.3241347242505085,0.28071139466510353,0.31308574522070676,0.2921909766573495,0.3099346542013385,0.28241447076836423,0.219158009648928,0.2570249322858605,0.260204777374989,0.3316927156815605,0.3141161207138852,0.2681025700262322,0.24741478475158876,0.3050606535266043,0.25970086112157925,0.31018114259961876
43,12,IL,0.195413460620879,0.2904990041710735,0.203837780943522,0.27833535579358504,0.24951060191131702,0.2682751789352813,0.2961310423827237,0.30324856011490425,0.31515856552395277,0.28405775637181974,0.28837304925040796,0.22673940455838398,0.22548007094934752,0.264986641883146,0.2635941042516903,0.24670884573777652,0.2375444101452105,0.246847892965594,0.22695245395049923,0.286099114831817
44,12,NIC,0.374804114061847,0.240481677964008,,,0.290896081661293,0.225175841384426,0.211237702528338,0.2363787208491315,0.2788315737620535,,0.347132927425792,0.254038861105148,,,0.2599875532840925,0.20493691978985,0.171108469669225,0.269665492184955,0.357893889081684,
45,12,NIL,0.300153966767598,0.21644465216372902,0.2395581603722895,0.221045158144383,0.25840280428732554,0.309162667055423,0.2878807097524335,0.249124720867321,0.275089646317515,0.2297774010468685,0.2697049106986745,0.2322409860226235,0.291376652042544,0.29822998141029,0.2579516898847845,0.25145539180606646,0.34121710677906003,0.228211430258433,0.3000148710662415,0.29779261140741276
46,13,IC,0.28319483282534597,0.2819233582275765,0.2726877686952225,0.263192808743013,0.297466791084896,0.2658329627781595,0.28648089152891576,0.27363787139503776,0.27012980561891226,0.25543152307217376,0.22028130980496702,0.229984842546199,0.319662377646006,0.264573255861114,0.26313824882910075,0.2764101902268247,0.2631371738711885,0.26943096273536826,0.26574950538341924,0.30598049297742275
47,13,IL,0.3398614632851925,0.3191355757527265,0.31092522442141,0.256075231055952,0.2837066611879553,0.32026556612218526,0.2978485595528642,0.3381344041800745,0.34876033417441926,0.31392951095506827,0.2704280900679185,0.2894797097301455,0.28899582797344,0.3012033346356765,0.330154069457469,0.27424687783172375,0.289440442165132,0.2840658446956885,0.2881802383862593,0.29519935264325353
48,13,NIC,0.3280304797258905,0.2432756791029895,,,0.27581024979340873,0.360734652125017,0.176341314757332,0.334922516603086,0.258290349007416,,0.2654063111283135,,,,0.24277048265511497,0.2439892642748615,0.254229376441919,,,
49,14,IC,0.276400473216723,0.305109453684269,0.3196434369546225,0.31498796577070254,0.32112733211835676,0.3305255003014572,0.3048200987784055,0.31929526409942377,0.29642356066049225,0.326083075620646,0.301523498721108,0.2748860622540815,0.320724325024705,0.273049473001069,0.33566251517643925,0.32042180755637073,0.29080159696783076,0.2715744225496075,0.288328690282334,0.25939521563169976
50,14,IL,0.28878512603798,0.22367691342483753,,0.22672390911173002,0.27379083527766546,0.263107570576937,0.2948658603095977,0.231972293790622,0.25716252259096123,0.2490251799716755,0.2495388787053765,0.301332822375024,,0.2507248888672535,0.3016556939263637,0.29121484240246154,0.2958750839886315,0.2443185405473105,0.258978892916636,0.256266302892478
51,14,NIC,0.284658046801873,0.31110101251139255,0.31773399249247003,0.3422010774098835,0.2822155634198975,0.2551932203959315,0.2556985120772858,0.2918027572973855,0.32082617030345345,0.2886722678524275,0.208220504482044,0.24157308579363349,0.270476198726619,0.361490741456784,0.23650418379413773,0.2903007328841605,0.26061951142822226,0.19892908270843102,0.34625301722831575,0.2572585537955975
52,14,NIL,0.357823984406884,0.292461747062778,0.316818535872903,,0.3019041061203682,0.2631960147293025,0.294697964405432,0.226745807364527,0.25724566090204404,0.245349562207022,0.170856077761943,0.2252767236114015,0.244448309760332,,0.2256955701702395,0.22102660918558703,0.26455845748893597,0.2831085756017643,0.30149625870457997,0.192117443978258
53,15,IC,0.271105197740122,0.262175303328964,0.344237552354254,0.20619102552399549,0.25782154206159374,0.24250646615665578,0.250830814901026,0.271721136401194,0.2616594682195,0.24788434281932825,0.251173757364967,0.2944255568519315,,0.271643068056812,0.28554380653990474,0.382860372114549,0.2538042961211935,0.329124202247476,0.2596412007073395,0.350670313386058
54,15,IL,0.24270522080142648,0.27167207966686246,0.26796399942036997,0.2350881866126485,0.2753870969611698,0.3012231096724185,0.2677484479100235,0.25897876923311247,0.2563811850655777,0.2462114822000625,0.33127095912933946,0.3091657206063285,0.264238713306774,0.2563039881030345,0.3223270580328905,0.277350119514443,0.23673952555106925,0.290807133492728,0.2934842423914425,0.24850372184097624
55,15,NIC,0.24058424423631997,0.209936477520099,,0.295672367840102,0.22001799336190198,0.2046957005570195,0.26098239184398775,0.2432470145211305,0.2778754483973752,0.218777864894872,0.234052803953408,0.311243226283848,,0.2350050878266105,0.2580843413169812,0.2791203788338815,0.267069655382271,0.27023979742489346,0.23307264443915077,0.2057714584165905
56,15,NIL,0.32935713636049546,0.3448555433330145,0.266147199356793,0.3634731532980115,0.37370725054871723,0.2820998458960833,0.31486983321170053,0.28632327625320025,0.27985451637136405,0.30721154957125374,,0.34021976834043,0.188433288152685,0.2868577477727005,0.250413031278047,0.23115802918536202,0.3197509826988355,0.34148284212945423,0.30643304174562447,0.27474680730454476
57,16,IC,0.3008377919362305,0.291680739115768,0.2774893104158075,0.302359486964502,0.3076000921742973,0.32765844099092223,0.306783973110177,0.29349550495633875,0.2758910206930918,0.28163896874050526,0.27962304704005003,0.3036211049230635,0.2083011708365115,0.215059170668038,0.2521005144674795,0.2524141243352645,0.20841658859229426,0.2570787958933755,0.249426564868562,0.255969711129409
58,16,IL,0.2755499376369245,0.310734890578087,0.3183022286256345,0.2567341011333515,0.28548294203797775,0.29221375574158526,0.24504037561611874,0.3090337280410652,0.2545311905973717,0.2876300612175867,0.284163823281379,0.227201192310791,0.3102747318799125,0.205472115107283,0.2509777430845498,0.2573083812104,0.25852203724078077,0.21953164730805352,0.2041575480637155,0.25290674691916104
59,16,NIC,0.291648487804692,0.2678687053951505,,,0.273618353471814,0.2935202093235755,0.264890916926792,0.251185056916387,0.2370357604900165,,0.22613076398938198,0.1929468686147205,,,0.23254402517678752,0.25884223892797653,0.276021387512991,0.1888312622480105,0.22576850117707348,
60,16,NIL,0.22474564429101002,0.28243282772050904,0.2414517969821875,0.35296545187699546,0.25705732058813147,0.27826323531664676,0.27135583714823275,0.28713982491233675,0.32788434370286673,0.264686184515162,0.30781236894692354,0.29892705329694946,0.229102368974492,0.28329419603502304,0.3083348508011162,0.26554529320481923,0.303744107536357,0.25336966613411627,0.3153462558039325,0.2665937864022815
61,17,IC,0.2662431910863015,0.2831985326869225,0.2966022334566075,0.305236924777417,0.28178326596542747,0.2864987233195935,0.3069989984382563,0.264049062209582,0.2265156166307265,0.328032017386847,0.289907718081568,0.3657490352444025,,,0.3020079827240462,0.251217524815116,0.319113516734422,0.277697065554583,0.367865427360302,
62,17,IL,0.342579843969933,0.324069593010152,,,0.33387786858829804,0.398961337022707,0.327363997118498,0.2724378960389225,0.23315978403036502,,,0.3715795868483615,,,0.3008498201518865,,,0.21922498999101248,0.29282672995265147,
63,17,NIC,0.2947750854230945,0.2641969493154485,0.3307664872102585,0.2604979106596415,0.2279672065848965,0.2922816392530755,0.2601110204715945,0.25560271400035905,0.24939058083632026,0.29472767881734696,0.2141185168790995,0.32623381584817845,0.337325448297426,0.26674351815644903,0.26461466612747375,0.2621225589164172,0.26976303972628474,0.2859319630094755,0.363168219082849,0.26531875700659746
64,17,NIL,0.221564861140328,0.28763487673031396,0.2283504875426755,0.292827162897681,0.26877361555721124,0.2869495455090253,0.259566718774908,0.296199423757848,0.2597847009337285,0.26043933638025724,0.20061191782583598,0.20183831951526598,0.3349176811644155,0.29821911981438154,0.1809325291380115,0.276997589318381,0.265860587564361,0.2669934276808458,0.24179464969773873,0.2958707968995903
65,18,IL,0.426919753668048,0.30088301228998704,,,0.3468425005657125,0.348887244879024,0.407066017437552,0.2609161699738895,0.2892750401606445,,,0.2005819061431395,,0.273027159281348,0.2800878734341285,,0.341141893600128,0.29676586844235253,0.31679723023030276,0.239653738884447
66,18,NIC,0.2989309311740505,0.2693570636712735,0.262939920991422,0.22559178864387902,0.28096150445430673,0.28851989485817997,0.27943040404389696,0.2402273382215705,0.2282265888806155,0.2578395633058595,,0.154268209551338,0.235276754922766,0.296677327353359,0.205237263291673,0.173479398905252,0.22514846072592098,0.2408596602072285,0.26881292581245825,0.25480421818492927
67,18,NIL,0.2002476821344105,0.248433005767725,0.226693476309926,0.2407500036258325,0.24575149670434052,0.2283891032595205,0.26665026293137,0.2707897446049897,0.290051024005281,0.25328282135941504,0.2922394864644,0.286967088512583,0.273499915974499,0.3031911624332365,0.317238949002563,0.21471229044448625,0.21778637854185676,0.23657746700617524,0.274134868416403,0.3024371545571083
68,19,IC,0.312686561191361,0.250556706347262,,0.209509384342239,0.27594935132257475,0.3012996450987565,0.256948800197802,0.2612630454064815,0.2656008139761248,0.238284782103247,0.2779508944001585,0.3280113562431145,0.185566134394794,,0.30411200811365574,0.25819097663860174,0.284698298492989,0.284687053535217,0.224484181743652,0.301704445428872
69,19,IL,0.19361167879166752,0.274013017619559,0.22808993842966152,0.3168899573305035,0.243218498503402,0.2649259595564223,0.263131247176349,0.24016942485142626,0.2712128174630025,0.31170597198208777,0.2958191556833265,,0.331545248151078,0.2578044793728575,0.2434393635963455,0.29413750108671977,0.2940399741383277,0.282972858168474,0.2682405167538995,0.231483825756057
70,19,NIC,0.275698824694414,0.2951023359562885,0.2380221984749315,,0.27086009802135924,0.2755784191818368,0.31343294814585954,0.25669674268672127,0.2902986581148215,0.259977009640068,0.39171971008059403,0.3918738542624155,0.2895808815609485,,0.3582276092584255,0.27186862186627775,0.2983094199765825,0.239016628482856,0.265815856452072,0.3413358807259565
71,19,NIL,0.2767151510145905,0.30978623248580295,,0.208377722226678,0.29230514639444727,0.28276408860492797,0.25174637879031003,0.2170356686829965,0.24094168770997024,0.2682958447680025,0.2745833732038355,0.196138286262881,,0.45226583163322,0.23000405342323477,0.243355930455533,0.30595458778231827,0.211017024260464,0.2376334071636785,0.220184725437277
72,20,IC,0.230298503261717,0.2814948646893055,0.214889819534021,,0.27650604618012675,0.263761496380724,0.25718228822171296,0.29385591598529176,0.294884080735331,0.309061023974728,0.306590826830741,0.2804693662682385,,,0.2703565946024315,0.27711372038032,0.3037331484558575,0.24362882899327448,0.25815063138766103,
