,Participant,Comfort_Post,Likeable_Post,More_Time_Post,Group,Pair,Mean_liking_Post
114,A,7.0,7.0,5.0,NIL,7,6.333333333333333
115,B,7.0,7.0,6.0,NIL,7,6.666666666666667
116,A,7.0,2.0,2.0,NIL,8,3.6666666666666665
117,B,7.0,7.0,6.0,NIL,8,6.666666666666667
118,A,5.0,5.0,2.0,NIL,9,4.0
119,B,8.0,8.0,4.0,NIL,9,6.666666666666667
120,A,8.0,8.0,4.0,NIL,10,6.666666666666667
121,B,6.0,7.0,6.0,NIL,10,6.333333333333333
122,A,7.0,7.0,6.0,NIL,11,6.666666666666667
123,B,7.0,7.0,6.0,NIL,11,6.666666666666667
124,A,7.0,6.0,6.0,NIL,12,6.333333333333333
125,B,6.0,6.0,3.0,NIL,12,5.0
126,A,8.0,8.0,7.0,NIL,13,7.666666666666667
127,B,7.0,7.0,6.0,NIL,13,6.666666666666667
128,A,8.0,8.0,4.0,NIL,14,6.666666666666667
129,B,8.0,8.0,7.0,NIL,14,7.666666666666667
130,A,7.0,8.0,7.0,NIL,15,7.333333333333333
131,B,8.0,8.0,6.0,NIL,15,7.333333333333333
132,A,6.0,6.0,6.0,NIL,16,6.0
133,B,5.0,6.0,3.0,NIL,16,4.666666666666667
134,A,8.0,8.0,8.0,NIL,17,8.0
135,B,6.0,6.0,2.0,NIL,17,4.666666666666667
136,A,7.0,7.0,5.0,NIL,18,6.333333333333333
137,B,8.0,8.0,8.0,NIL,18,8.0
138,A,7.0,8.0,6.0,NIL,19,7.0
139,B,8.0,6.0,4.0,NIL,19,6.0
140,A,6.0,6.0,6.0,NIL,20,6.0
141,B,6.0,6.0,6.0,NIL,20,6.0
142,A,7.0,7.0,7.0,NIL,21,7.0
143,B,8.0,8.0,8.0,NIL,21,8.0
144,A,6.0,6.0,6.0,NIL,22,6.0
145,B,7.0,7.0,6.0,NIL,22,6.666666666666667
146,A,7.0,7.0,6.0,NIL,23,6.666666666666667
147,B,7.0,8.0,3.0,NIL,23,6.0
148,A,6.0,7.0,4.0,NIL,24,5.666666666666667
149,B,7.0,6.0,4.0,NIL,24,5.666666666666667
150,A,8.0,8.0,6.0,NIL,25,7.333333333333333
151,B,7.0,8.0,7.0,NIL,25,7.333333333333333
152,A,8.0,8.0,8.0,NIC,1,8.0
153,B,6.0,6.0,5.0,NIC,1,5.666666666666667
154,A,8.0,8.0,8.0,NIC,2,8.0
155,B,8.0,8.0,7.0,NIC,2,7.666666666666667
156,A,7.0,6.0,7.0,NIC,3,6.666666666666667
157,B,6.0,7.0,4.0,NIC,3,5.666666666666667
158,A,7.0,7.0,6.0,NIC,4,6.666666666666667
159,B,7.0,7.0,7.0,NIC,4,7.0
160,A,8.0,8.0,6.0,NIC,5,7.333333333333333
